tokenID,Tier,Genesis,Avatar,Background,Shaft,Axe Head,Accessory,Necklace,Pommel,Mage Hat,Holiday Hat,Sunglasses,Pipe,Trait Count,Tier Score,Genesis Score,Avatar Score,Background Score,Shaft Score,Axe Head Score,Accessory Score,Necklace Score,Pommel Score,Mage Hat Score,Holiday Hat Score,Sunglasses Score,Pipe Score,Trait Count Score,Total Score,Rank
1668,ASIC,ASIC,Desert Dwarf,Muddy Red,Breccia Stone,Steel Nail,None,None,None,None,None,None,None,6,8000,8000,18.43317972,86.95652174,106.6666667,80,1.429337145,1.106960011,1.403508772,1.031060704,1.009591116,1.006036217,1.001627645,1.929105377,16301.9736,1
7966,Expert,V3,Galactic Orc,ETH Moon,Lemon-Limestone Trophy,Rockclaw,Big BTC guard,Sapphire Pendant,Crown of Gold,None,None,None,Oceanspray Pipe,10,160,2.094240838,16.59751037,1600,1600,50,888.8888889,68.96551724,333.3333333,1.031060704,1.009591116,1.006036217,8000,150.9433962,12873.86957,2
7990,Expert,V3,Desert Orc,Sunshine Pix,Hyperbeast Triple,Spiked Pick,Real Ape,None,Crown of Gold,None,None,Blue Shades,Ancient Pipe,10,160,2.094240838,17.09401709,4000,1600,50,615.3846154,1.106960011,333.3333333,1.031060704,1.009591116,2666.666667,2666.666667,150.9433962,12265.33055,3
7953,Expert,V3,Desert Cyclops,BTC Pink Moon,Godmetal Cogged,Slicer,Real Ape,Gold Pendant,Crown of Gold,Orange Mage Hat,None,Blue Shades,None,11,160,2.094240838,18.82352941,1600,1600,50,615.3846154,58.82352941,333.3333333,200,1.009591116,2666.666667,1.001627645,4000,11307.13713,4
7992,Expert,V2,Desert Goblin,BTC Pink Moon,Hyperbeast Triple,Diamond Crusher,Big BTC guard,Emerald Pendant,Crown of Gold,None,Orange Holiday Hat,Hot Pink Shades,None,11,160,6.785411366,18.86792453,1600,1600,50,888.8888889,57.14285714,333.3333333,1.031060704,727.2727273,1000,1.001627645,4000,10444.32383,5
8199,Expert,V3,Desert Troll,Tetris Teal,Hyperbeast Triple,Slicer,Big ETH Guard,Sapphire Pendant,Skull of Death,None,None,None,Stone Pipe,10,160,2.094240838,17.77777778,2000,1600,50,800,68.96551724,307.6923077,1.031060704,1.009591116,1.006036217,4000,150.9433962,9160.519928,6
7995,Expert,V3,Forest Troll,Tetris Orange,Hyperbeast Split,Spiked Pick,Big ETH Guard,Sapphire Pendant,Skull of Death,None,None,None,Bubblegum Pipe,10,160,2.094240838,16.77148847,4000,1600,50,800,68.96551724,307.6923077,1.031060704,1.009591116,1.006036217,2000,150.9433962,9159.513639,7
7961,Expert,V1,Desert Cyclops,Watermelon Pix,Opal Stabilizer,Rockclaw,MoonRocket,None,Skull of Death,None,None,Hot Pink Shades,Ruby Pipe,10,160,2.666666667,18.82352941,1142.857143,1600,50,2000,1.106960011,307.6923077,1.031060704,1.009591116,1000,2666.666667,150.9433962,9102.797321,8
7964,Expert,V3,Forest Goblin,Neon Sky ETH,Opal Stabilizer,Ornate Gemcutter,Real Ape,Gold Pendant,Skull of Death,None,None,None,Stone Pipe,10,160,2.094240838,17.4291939,1600,1600,50,615.3846154,58.82352941,307.6923077,1.031060704,1.009591116,1.006036217,4000,150.9433962,8565.413971,9
7956,Expert,V2,Tundra Goblin,ETH Soil,Opal Cogged,Rockclaw,MoonRocket,Amethyst Pendant,Crown of Gold,None,None,Gray Shades,None,10,160,6.785411366,20.10050251,2666.666667,1600,50,2000,55.94405594,333.3333333,1.031060704,1.009591116,666.6666667,1.001627645,150.9433962,7713.482312,10
